flower,WebCatKey,cat-key
Alstroemeria,00000292,00000003
Aster-Focal,00000299,00000003
Aster-Spray,00000298,00000003
Bells of Ireland,00000304,00000003
Bouquets,00000306,00000003
Calla lily,00000312,00000003
Carnations,00000314,00000003
Carnations-Mini,00000369,00000003
Combo Box,00000320,00000003
Daffodil,00000326,00000003
Dahlia,00000327,00000003
Delphinium,00000329,00000003
Gerbera,00000340,00000003
Gladiolus,00000343,00000003
Gypsophila,00000348,00000003
Hydrangea,00000351,00000003
Hypericum,00000352,00000003
Iris,00000353,00000003
Laceflower,00000356,00000003
Larkspur,00000357,00000003
Liatris,00000359,00000003
Lilies,00000361,00000003
Limonium,00000363,00000003
Lisianthus,00000364,00000003
Mums-Bunched,00000375,00000003
Mums-Stem,00000376,00000003
Novelty,00000285,00000003
Acacia,00000286,00000003
Achillea,00000478,00000003
Acontium,00000586,00000003
Agapanthus,00000287,00000003
Ageratum,00000288,00000003
Agrostemma,00000585,00000003
Alchemilla,00000289,00000003
Allium,00000290,00000003
Amaranthus,00000293,00000003
Amaryllis,00000294,00000003
Amaryllis bunch,00000502,00000003
Amsonia,00000541,00000003
Anemone,00000295,00000003
Anise,00000479,00000003
Apricot,00000594,00000003
Armeria,00000444,00000003
Aronia,00000602,00000003
Artemisia,00000426,00000003
Artichoke,00000433,00000003
Asclepias,00000474,00000003
Asclepias Pink,00000543,00000003
Asclepsia,00000423,00000003
Astartea,00000296,00000003
Astilbe,00000300,00000003
Astrantia,00000301,00000003
Atriplex,00000458,00000003
Baeckea,00000302,00000003
Banksia,00000623,00000003
Baptisia,00000445,00000003
Basil,00000493,00000003
Baxteri,00000591,00000003
Bay Leaf,00000434,00000003
Bee Balm,00000460,00000003
Berry,00000459,00000003
Berry Winter,00000612,00000003
Berzelia,00000484,00000003
Berzilia,00000581,00000003
Boronia,00000305,00000003
Bouvardia,00000307,00000003
Branch,00000309,00000003
Brodea,00000435,00000003
Broom Corn,00000467,00000003
Brunia,00000511,00000003
Brussel Sprouts,00000619,00000003
Bubble Ruscus,00000510,00000003
Buddleia,00000466,00000003
Bupleurum,00000310,00000003
Calendula,00000311,00000003
Callicarpa,00000503,00000003
Callistephus,00000565,00000003
Campanula,00000313,00000003
Canterbury Bells,00000454,00000003
Cathedral Vine,00000710,00000003
Cattails,00000492,00000003
Celosia,00000316,00000003
Centaurrea,00000524,00000003
Cestrum,00000519,00000003
Chasmanthe,00000534,00000003
Chelone,00000317,00000003
